tema,status,branch,arquivo,linhas,evidencia,impacto_ui,acao_recomendada
acessibilidade_rotulos,NAO_COMPROVADO,main,—,—,Nenhum atributo aria-label ou atributo de acessibilidade nos templates HTML/SVG gerados,Artefatos podem ser inacessíveis para leitores de tela,Adicionar atributos aria nos templates de aimm_communication.py
acessibilidade_fallback,NAO_COMPROVADO,main,—,—,Nenhum fallback de texto para elementos visuais (SVG sem título/desc; HTML sem alt),Inacessível para tecnologias assistivas,Adicionar <title> e <desc> no SVG; texto alternativo nos cards
visual_review_checklist,PARCIAL,main,data/reference/aimm_visual_review_checklist_seed.csv,1-11,"10 itens de revisão visual; todos com status=pendente",Nenhum artefato visual foi formalmente aprovado por revisão humana,Conduzir revisão humana e atualizar status para aprovado/reprovado
endpoint_worldbank_countries,IMPLEMENTADO,main,app.py,158-190,"GET /worldbank/countries — autenticação Bearer, paginação, JSON",Busca de países disponível e funcional,Manter
endpoint_worldbank_indicators,IMPLEMENTADO,main,app.py,191-227,"GET /worldbank/indicators?search= — filtro por nome, top-10",Busca de indicadores disponível e funcional,Manter
endpoint_worldbank_data,IMPLEMENTADO,main,app.py,230-320,"GET /worldbank/data/{country}/{indicator}?date= — série temporal, JSON",Série temporal de indicador por país disponível e funcional,Manter
endpoint_api_indicators_aimm,AUSENTE,main,—,—,Nenhum endpoint GET /api/indicators expondo indicadores AIMM internos via HTTP,Tabela de indicadores AIMM não acessível via API,Criar endpoint em app.py lendo data/processed/aimm_indicator_scores.csv
endpoint_api_dashboard,AUSENTE,main,—,—,Nenhum endpoint GET /api/dashboard expondo payload do dashboard AIMM,Payload do dashboard não acessível via API,Criar endpoint em app.py lendo outputs/reports/aimm_dashboard_payload.json
endpoint_upload,AUSENTE,main,—,—,Nenhum endpoint POST /api/upload implementado em app.py,Impossibilita ingestão de arquivo via interface web,Implementar em app.py; referência experimental em origin/copilot/research-data-ingestion-analysis
painel_web_interativo,AUSENTE,main,docs/FEATURE_STATUS_BY_BRANCH.md,—,"Referenciado como gap crítico: ""Sem painel interativo (web)""",Usuário não pode explorar dados interativamente; apenas artefatos estáticos disponíveis,Iniciar com Plotly/Dash em branch refactor/phase3 conforme docs/FEATURE_STATUS_BY_BRANCH.md
gis_manaus,IMPLEMENTADO,main,data/raw/gis/municipio_manaus_1302603.gpkg,—,GeoPackage de Manaus validado e presente no repositório,Cobertura GIS de Manaus disponível; sem endpoint de mapa web,Expor via endpoint ou integrar em painel interativo futuro
gis_benjamin_constant,AUSENTE,main,—,—,Nenhum arquivo GeoPackage ou dado GIS processado para Benjamin Constant (1300607),Cobertura GIS ausente para município de alto interesse do projeto,Baixar malha municipal IBGE e registrar em data/raw/gis/municipio_benjamin_constant_1300607.gpkg
gis_belem,AUSENTE,main,—,—,Nenhum arquivo GeoPackage ou dado GIS processado para Belém (1501402),Cobertura GIS ausente para Belém,Baixar malha municipal IBGE e registrar em data/raw/gis/municipio_belem_1501402.gpkg
gis_santarem,AUSENTE,main,—,—,Nenhum arquivo GeoPackage ou dado GIS processado para Santarém (1506807),Cobertura GIS ausente para Santarém,Baixar malha municipal IBGE e registrar em data/raw/gis/municipio_santarem_1506807.gpkg
contrato_canonico_schema,IMPLEMENTADO,main,docs/contracts/indicator_canonical.schema.json,1-80,"Schema JSON v2020-12 com campos obrigatórios: id, nome, dimensao, valor, territorio_codigo, confiabilidade, origem_api, status_dado, versao_metodologia",Contrato definido e disponível para validação de payload de UI,Usar schema para validar payloads dos endpoints novos
contrato_canonico_exemplos,IMPLEMENTADO,main,docs/contracts/indicator_examples.json,1-150,"Exemplos para BR (WB), Manaus (IBGE), Benjamin Constant, Belém, Santarém — todos os 4 municípios do projeto",Exemplos de payload disponíveis para desenvolvimento da UI,Usar exemplos como fixtures de teste
score_final_bloqueado,EXPERIMENTAL,main,src/fito_aimm/aimm_engine.py,199,"pode_ser_usado_como_score_final: ""não"" — hardcoded no motor",Usuário não pode interpretar score como resultado final; trava obrigatória,Manter trava até validação metodológica substantiva concluída
visual_layout_seed,IMPLEMENTADO,main,data/reference/aimm_visual_layout_seed.csv,1-6,"5 formatos de saída documentados: HTML, SVG, Mermaid, Markdown, JSON",Formatos de saída definidos; sem paleta ou tokens,Complementar com tokens de cor e legenda
